Q20051142,Q81753
Q81753,Q571947
Q571947,Q1202
Q1202,Q183
Q32101025,Q645854
Q645854,Q2876
Q2876,Q1196
Q1196,Q183
Q33377018,Q1205
Q1205,Q183
Q30656320,Q200138
Q200138,Q6275
Q6275,Q7927
Q7927,Q1198
Q1198,Q183
Q32512514,Q1196
Q18757762,Q3097
Q3097,Q32067969
Q32067969,Q7926
Q7926,Q1198
Q31909165,Q32121022
Q32121022,Q33159446
Q33159446,Q32063954
Q32063954,Q985
Q985,Q183
Q32086049,Q980
Q980,Q183
Q49291496,Q7862
Q7862,Q1205
Q19973480,Q164086
Q164086,Q6165
Q6165,Q1208
Q1208,Q183
Q32291458,Q980
Q33385304,Q1197
Q1197,Q183
Q30663389,Q32750458
Q32750458,Q7869
Q7869,Q1205
Q687893,Q32421009
Q32421009,Q6064
Q6064,Q1206
Q1206,Q183
Q30610291,Q32203532
Q32203532,Q8191
Q8191,Q32017476
Q32017476,Q985
Q504068,Q10436
Q10436,Q10554
Q10554,Q980
Q30812966,Q6755
Q6755,Q5982
Q5982,Q7924
Q7924,Q1198
Q145032,Q1208
Q31301215,Q574146
Q574146,Q6146
Q6146,Q1208
Q35448888,Q985
Q31291043,Q10458
Q10458,Q10547
Q10547,Q980
Q31897273,Q5940
Q5940,Q1197
Q32012979,Q1199
Q1199,Q183
Q30664145,Q10412
Q10412,Q10557
Q10557,Q980
Q704425,Q50877
Q50877,Q6061
Q6061,Q1206
Q177864,Q6163
Q6163,Q7924
Q30712344,Q1198
Q32262492,Q694938
Q694938,Q7871
Q7871,Q1205
Q14936,Q6187
Q6187,Q7920
Q7920,Q1198
Q53761,Q2902
Q2902,Q1196
Q30673064,Q242810
Q242810,Q6230
Q6230,Q7923
Q7923,Q1198
Q31324503,Q32391536
Q32391536,Q8522
Q8522,Q8172
Q8172,Q985
Q566711,Q8564
Q8564,Q1200
Q1200,Q183
Q1264278,Q1198
Q33351794,Q985
Q81732,Q571947
Q32065546,Q1194
Q1194,Q183
Q30504548,Q32223234
Q32223234,Q33159459
Q33159459,Q32063954
Q49290895,Q693212
Q693212,Q8601
Q8601,Q1200
Q31877341,Q10472
Q10472,Q10547
Q31336710,Q32041969
Q32041969,Q7887
Q7887,Q1205
Q31877765,Q1197
Q49293419,Q555239
Q555239,Q8574
Q8574,Q1200
Q20184481,Q32051501
Q32051501,Q1055
Q1055,Q183
Q31566695,Q32048877
Q32048877,Q8191
Q31303195,Q8602
Q8602,Q1200
Q32065542,Q638090
Q638090,Q5913
Q5913,Q1197
Q32087326,Q628371
Q628371,Q6178
Q6178,Q1208
Q165501,Q10507
Q10507,Q10562
Q10562,Q980
Q31309011,Q11045
Q11045,Q6298
Q6298,Q7927
Q31514632,Q633608
Q633608,Q702755
Q702755,Q7932
Q7932,Q1199
Q33322201,Q1208
Q696417,Q8575
Q8575,Q1200
Q646345,Q8602
Q3799011,Q158106
Q158106,Q31910788
Q31910788,Q64
Q64,Q183
Q28152479,Q31945116
Q31945116,Q2876
Q30802476,Q32242857
Q32242857,Q6098
Q6098,Q1206
Q15793027,Q10522
Q10522,Q10562
Q520907,Q10421
Q10421,Q10555
Q10555,Q980
Q31289771,Q529475
Q529475,Q10480
Q10480,Q10559
Q10559,Q980
Q18628427,Q581489
Q581489,Q460084
Q460084,Q6173
Q6173,Q1208
Q690659,Q2898
Q2898,Q1196
Q501687,Q5915
Q5915,Q1197
Q30684933,Q522639
Q522639,Q10423
Q10423,Q10555
Q32065705,Q32255425
Q32255425,Q6125
Q6125,Q1208
Q31918735,Q980
Q31302513,Q503682
Q503682,Q10530
Q10530,Q10562
Q33403452,Q1197
Q30646342,Q4074
Q4074,Q6280
Q6280,Q7927
Q16086,Q6245
Q6245,Q7926
Q30758367,Q564821
Q564821,Q7896
Q7896,Q7928
Q7928,Q1199
Q31302272,Q10906
Q10906,Q5953
Q5953,Q7924
Q30806181,Q684890
Q684890,Q7866
Q7866,Q1205
Q31316459,Q672005
Q672005,Q6047
Q6047,Q1197
Q31920621,Q202367
Q202367,Q8580
Q8580,Q1200
Q30690796,Q20332
Q20332,Q2902
Q30658079,Q14876
Q14876,Q6805
Q6805,Q1201
Q1201,Q183
Q32031693,Q1197
Q32245378,Q985
Q33347557,Q980
Q32764981,Q1200
Q1475496,Q10415
Q10415,Q980
Q835827,Q32210054
Q32210054,Q6057
Q6057,Q1206
Q31916908,Q533203
Q533203,Q10539
Q10539,Q10562
Q32011345,Q1196
Q515480,Q985
Q160461,Q93300
Q93300,Q571947
Q33347057,Q1194
Q569120,Q8601
Q948181,Q6992
Q6992,Q6272
Q6272,Q7927
Q31300487,Q507639
Q507639,Q7875
Q7875,Q1205
Q32257546,Q980
Q31351854,Q1197
Q30817874,Q32017116
Q32017116,Q5978
Q5978,Q1197
Q20735329,Q32761978
Q32761978,Q6041
Q6041,Q1197
Q1880340,Q3822
Q3822,Q6163
Q31538673,Q57953
Q57953,Q6339
Q6339,Q1202
Q813539,Q1197
Q33214178,Q1208
Q32177611,Q1208
Q35378251,Q985
Q583385,Q10465
Q10465,Q10547
Q30504450,Q624727
Q624727,Q7893
Q7893,Q7928
Q31526407,Q32067991
Q32067991,Q7932
Q34935391,Q1208
Q54839217,Q256518
Q256518,Q10502
Q10502,Q10562
Q31313973,Q32242857
Q30508746,Q32062194
Q32062194,Q10410
Q10410,Q10557
Q1813684,Q40
Q32060066,Q551673
Q551673,Q2947
Q2947,Q1194
Q32765370,Q1202
Q651400,Q8593
Q8593,Q1200
Q32053176,Q980
Q32124159,Q1198
Q2523163,Q183
Q31328409,Q32038422
Q32038422,Q7869
Q30754436,Q636117
Q636117,Q7899
Q7899,Q7928
Q32171088,Q1199
Q33380174,Q1208
Q58230637,Q547113
Q547113,Q6053
Q6053,Q1197
Q684829,Q7884
Q7884,Q1205
Q30736281,Q1208
Q14214072,Q2079
Q2079,Q1202
Q158083,Q31910788
Q32201831,Q6053
Q1585168,Q1198
Q31984115,Q980
Q700677,Q8569
Q8569,Q1200
Q896960,Q980
Q32751556,Q32017476
Q1569,Q32051501
Q32752650,Q6022
Q6022,Q1197
Q257018,Q10544
Q10544,Q10562
Q699074,Q573464
Q573464,Q6064
Q32468833,Q980
Q49006126,Q32293144
Q32293144,Q1709
Q1709,Q1196
Q33407238,Q985
Q32485467,Q985
Q387326,Q6916
Q6916,Q6272
Q32258790,Q1208
Q528990,Q32016218
Q32016218,Q6328
Q6328,Q1202
Q30808773,Q7072
Q7072,Q6087
Q6087,Q1206
Q826954,Q586
Q586,Q1198
Q553267,Q8557
Q8557,Q1200
Q1783581,Q200783
Q200783,Q6272
Q778810,Q1198
Q553306,Q8569
Q858123,Q32121170
Q32121170,Q6092
Q6092,Q1206
Q563720,Q8566
Q8566,Q1200
Q32251415,Q1197
Q1332646,Q3971
Q3971,Q6234
Q6234,Q7923
Q1711272,Q588575
Q588575,Q6173
Q30622662,Q8572
Q8572,Q1200
Q2006844,Q21008
Q21008,Q2937
Q2937,Q1194
Q31338186,Q10429
Q10429,Q10555
Q31309183,Q31885464
Q31885464,Q6081
Q6081,Q1206
Q31326159,Q8557
Q31359724,Q1208
Q2402728,Q584044
Q584044,Q6115
Q6115,Q1208
Q32285667,Q7883
Q7883,Q1205
Q35640705,Q10402
Q10402,Q10557
Q49283573,Q650825
Q650825,Q7884
Q1826022,Q32762414
Q32762414,Q6041
Q31297323,Q284824
Q284824,Q7905
Q7905,Q7931
Q7931,Q1199
Q684733,Q7879
Q7879,Q1205
Q30790548,Q10458
Q31949895,Q1196
Q2456569,Q980
